KMI^A,"Kinder Morgan, Inc.",NYSE,n/a,$1493.47,n/a
ADRD,BLDRS Developed Markets 100 ADR Index Fund,NASDAQ,$60.17M,$2828.69,n/a
SCACU,Saban Capital Acquisition Corp.,NASDAQ,n/a,$4511.69,n/a
ILG,"ILG, Inc",NASDAQ,$3.46B,$7662.73,Finance
KBWD,PowerShares KBW High Dividend Yield Financial Portfolio,NASDAQ,$304.71M,$9583.41,n/a
GOVNI,Government Properties Income Trust,NASDAQ,n/a,$2214.34,Finance
SM,SM Energy Company,NYSE,$1.74B,$9163.22,Energy
ASNA,"Ascena Retail Group, Inc.",NASDAQ,$425.18M,$2237.68,Consumer Services
FYC,First Trust Small Cap Growth AlphaDEX Fund,NASDAQ,$104.39M,$8910.35,n/a
BONT,"The Bon-Ton Stores, Inc.",NASDAQ,$10.54M,$2407.45,Consumer Services
CBA           ,ClearBridge American Energy MLP Fund Inc.,NYSE,$508.59M,$6582.46,n/a
NTES,"NetEase, Inc.",NASDAQ,$38.98B,$2081.80,Miscellaneous
CGO,Calamos Global Total Return Fund,NASDAQ,$111.57M,$8025.72,n/a
ATRS,"Antares Pharma, Inc.",NASDAQ,$452.19M,$6266.28,Health Care
WY,Weyerhaeuser Company,NYSE,$25.31B,$6961.65,Consumer Services
VRSN,"VeriSign, Inc.",NASDAQ,$9.38B,$3918.75,Technology
EARN,Ellington Residential Mortgage REIT,NYSE,$140.16M,$2325.25,Consumer Services
CIVBP,"Civista Bancshares, Inc. ",NASDAQ,n/a,$6604.43,Finance
HQY,"HealthEquity, Inc.",NASDAQ,$3.07B,$2926.10,Miscellaneous
IVC,Invacare Corporation,NYSE,$399.95M,$8765.86,Health Care
MELI,"MercadoLibre, Inc.",NASDAQ,$11.63B,$5707.06,Miscellaneous
ASBB,"ASB Bancorp, Inc.",NASDAQ,$167.24M,$1107.62,Finance
GLOP,GasLog Partners LP,NYSE,$855.22M,$6609.09,Consumer Services
HR,Healthcare Realty Trust Incorporated,NYSE,$4.14B,$6955.04,Consumer Services
ENG,ENGlobal Corporation,NASDAQ,$31.21M,$4900.66,Consumer Services
IPL^D,Interstate Power and Light Company,NYSE,n/a,$5883.42,n/a
SITE,"SiteOne Landscape Supply, Inc.",NYSE,$1.97B,$8998.13,Consumer Non-Durables
CPK,Chesapeake Utilities Corporation,NYSE,$1.23B,$8015.69,Public Utilities
FGP,"Ferrellgas Partners, L.P.",NYSE,$508.11M,$3669.55,Consumer Services
ARKR,Ark Restaurants Corp.,NASDAQ,$85.01M,$3218.70,Consumer Services
QCOM,QUALCOMM Incorporated,NASDAQ,$83.95B,$1409.81,Technology
CBK,Christopher & Banks Corporation,NYSE,$48.91M,$2202.89,Consumer Services
GFNSL,General Finance Corporation,NASDAQ,n/a,$2450.60,Technology
WHFBL,"WhiteHorse Finance, Inc.",NASDAQ,n/a,$3295.46,n/a
AYA,Amaya Inc.,NASDAQ,$2.62B,$3822.08,Technology
RATE,"Bankrate, Inc.",NYSE,$1.01B,$3220.66,Technology
OIBR.C,Oi S.A.,NYSE,n/a,$9941.83,n/a
GLYC,"GlycoMimetics, Inc.",NASDAQ,$396.21M,$8582.23,Health Care
GOV,Government Properties Income Trust,NASDAQ,$1.61B,$4235.58,Finance
HUN,Huntsman Corporation,NYSE,$6.06B,$5652.04,Basic Industries
LBIX,Leading Brands Inc,NASDAQ,$5.24M,$9861.75,Consumer Non-Durables
VEACU,Vantage Energy Acquisition Corp.,NASDAQ,n/a,$4736.59,Finance
DHR,Danaher Corporation,NYSE,$58.64B,$2983.70,Capital Goods
FARM,Farmer Brothers Company,NASDAQ,$517.13M,$8353.72,Consumer Non-Durables
ACH,Aluminum Corporation of China Limited,NYSE,$7.15B,$3637.29,Basic Industries
FL,"Foot Locker, Inc.",NYSE,$6.83B,$9688.56,Consumer Services
PSA^D,Public Storage,NYSE,n/a,$9304.03,Consumer Services
HQY,"HealthEquity, Inc.",NASDAQ,$3.07B,$8892.28,Miscellaneous
NM^H,Navios Maritime Holdings Inc.,NYSE,n/a,$3365.57,n/a
NS^A,Nustar Energy L.P.,NYSE,n/a,$2199.43,n/a
STAR^F,iStar Financial Inc.,NYSE,n/a,$6407.86,n/a
ICD,"Independence Contract Drilling, Inc.",NYSE,$144.44M,$4043.06,Energy
GUT,Gabelli Utility Trust (The),NYSE,$296.84M,$8430.16,n/a
FCVT,First Trust SSI Strategic Convertible Securities ETF,NASDAQ,$38.77M,$5170.15,n/a
TOO^A,Teekay Offshore Partners L.P.,NYSE,n/a,$1508.13,n/a
EGL,"Engility Holdings, Inc.",NYSE,$1.05B,$9152.19,Consumer Services
IFON,InfoSonics Corp,NASDAQ,$6.33M,$6740.85,Consumer Non-Durables
JPC,Nuveen Preferred Income Opportunites Fund,NYSE,$999.98M,$6832.17,n/a
AFC,Ares Capital Corporation,NYSE,$206.36M,$2256.60,n/a
ELY,Callaway Golf Company,NYSE,$1.14B,$6655.24,Consumer Non-Durables
AHPAU,Avista Healthcare Public Acquisition Corp.,NASDAQ,n/a,$7548.82,Finance
EFSC,Enterprise Financial Services Corporation,NASDAQ,$965.1M,$2275.44,Finance
FBK,FB Financial Corporation,NYSE,$877.03M,$6656.11,Finance
AKBA,"Akebia Therapeutics, Inc.",NASDAQ,$548.36M,$2362.23,Health Care
ANH^B,Anworth Mortgage Asset  Corporation,NYSE,n/a,$3237.70,n/a
TRCB,Two River Bancorp,NASDAQ,$144.38M,$3992.88,Finance
GEB,General Electric Company,NYSE,n/a,$7573.11,Energy
HYI,Western Asset High Yield Defined Opportunity Fund Inc.,NYSE,$353.6M,$2553.47,n/a
CYAN,Cyanotech Corporation,NASDAQ,$19.78M,$7467.81,Consumer Durables
BGNE,"BeiGene, Ltd.",NASDAQ,$1.66B,$6360.08,Health Care
DRE,Duke Realty Corporation,NYSE,$10.25B,$7268.76,Consumer Services
NM^G,Navios Maritime Holdings Inc.,NYSE,n/a,$2880.52,n/a
APTS,"Preferred Apartment Communities, Inc.",NYSE,$497.06M,$2348.62,Consumer Services
ARDC,"Ares Dynamic Credit Allocation Fund, Inc.",NYSE,$378.21M,$2745.52,n/a
ADMS,"Adamas Pharmaceuticals, Inc.",NASDAQ,$391.07M,$5223.58,Health Care
IBM,International Business Machines Corporation,NYSE,$145.98B,$2979.29,Technology
COF.WS,Capital One Financial Corporation,NYSE,n/a,$4690.91,n/a
PACW,PacWest Bancorp,NASDAQ,$5.87B,$8328.96,Finance
GTYHU,"GTY Technology Holdings, Inc.",NASDAQ,n/a,$6476.83,n/a
IIPR,"Innovative Industrial Properties, Inc.",NYSE,$61.03M,$1782.04,Finance
JKHY,"Jack Henry & Associates, Inc.",NASDAQ,$8.14B,$9571.15,Technology
Z,"Zillow Group, Inc.",NASDAQ,$8.4B,$9509.89,Miscellaneous
LND,Brasilagro Cia Brasileira De Propriedades Agricolas,NYSE,$218.35M,$1277.58,n/a
CCU,"Compania Cervecerias Unidas, S.A.",NYSE,$4.88B,$3495.98,Consumer Non-Durables
CVO,Cenveo Inc,NYSE,$52.17M,$2357.59,Consumer Durables
SRTSW,"Sensus Healthcare, Inc.",NASDAQ,n/a,$2733.71,Health Care
OHAI,OHA Investment Corporation,NASDAQ,$24.59M,$7632.62,n/a
MGA,"Magna International, Inc.",NYSE,$16.53B,$3557.36,Capital Goods
GUT,Gabelli Utility Trust (The),NYSE,$296.84M,$9486.06,n/a
LLNW,"Limelight Networks, Inc.",NASDAQ,$299.1M,$1545.56,Miscellaneous
NDLS,Noodles & Company,NASDAQ,$154.07M,$4689.53,Consumer Services
MSGN,MSG Networks Inc.,NYSE,$1.66B,$6039.95,Consumer Services
GMTA,GATX Corporation,NYSE,n/a,$6896.59,Consumer Services
WAGE,"WageWorks, Inc.",NYSE,$2.67B,$5775.28,Miscellaneous
NEV,Nuveen Enhanced Municipal Value Fund,NYSE,$358.78M,$7482.46,n/a
CFX,Colfax Corporation,NYSE,$4.88B,$8936.14,Capital Goods
HIX,Western Asset High Income Fund II Inc.,NYSE,$626.7M,$1720.06,n/a
AVA,Avista Corporation,NYSE,$2.86B,$4636.59,Public Utilities
OFG,OFG Bancorp,NYSE,$443.87M,$2858.30,Finance
FANG,"Diamondback Energy, Inc.",NASDAQ,$8.33B,$6973.80,Energy
BFS^C,"Saul Centers, Inc.",NYSE,n/a,$1745.32,n/a
NDRA,ENDRA Life Sciences Inc.,NASDAQ,n/a,$1679.24,n/a
CGEN,Compugen Ltd.,NASDAQ,$189.19M,$1183.90,Health Care
ALGT,Allegiant Travel Company,NASDAQ,$2.38B,$4664.00,Transportation
CUBN,"Commerce Union Bancshares, Inc.",NASDAQ,$187.29M,$6022.13,n/a
RRD,R.R. Donnelley & Sons Company,NASDAQ,$864.5M,$3879.50,Miscellaneous
FEO,First Trust/Aberdeen Emerging Opportunity Fund,NYSE,$84.47M,$4237.92,n/a
CFBI,"Community First Bancshares, Inc.",NASDAQ,$98.15M,$2182.25,n/a
FGM,First Trust Germany AlphaDEX Fund,NASDAQ,$180.9M,$6451.60,n/a
SHOO,"Steven Madden, Ltd.",NASDAQ,$2.29B,$9368.77,Consumer Non-Durables
SSTI,"ShotSpotter, Inc.",NASDAQ,$125.21M,$4187.12,Technology
MINI,"Mobile Mini, Inc.",NASDAQ,$1.29B,$5061.76,Capital Goods
CSOD,"Cornerstone OnDemand, Inc.",NASDAQ,$2.09B,$1766.20,Technology
APLP,"Archrock Partners, L.P.",NASDAQ,$930.51M,$9991.45,Public Utilities
BOTJ,"Bank of the James Financial Group, Inc.",NASDAQ,$67.87M,$3046.23,Finance
RMBS,"Rambus, Inc.",NASDAQ,$1.32B,$3473.04,Technology
OPK,"Opko Health, Inc.",NASDAQ,$3.65B,$8935.25,Health Care
NEE^R,"NextEra Energy, Inc.",NYSE,n/a,$4577.59,n/a
INF,Brookfield Global Listed Infrastructure Income Fund,NYSE,$188.64M,$9035.89,n/a
ZIOP,ZIOPHARM Oncology Inc,NASDAQ,$763.03M,$5966.37,Health Care
CODI,Compass Diversified Holdings,NYSE,$1.02B,$5957.39,Consumer Durables
PBIB,"Porter Bancorp, Inc.",NASDAQ,$62.59M,$6191.40,Finance
VCIT,Vanguard Intermediate-Term Corporate Bond ETF,NASDAQ,$14.59B,$1466.28,n/a
PIH,"1347 Property Insurance Holdings, Inc.",NASDAQ,$49.81M,$9705.04,Finance
FLL,"Full House Resorts, Inc.",NASDAQ,$53.96M,$7926.34,Consumer Services
BMY,Bristol-Myers Squibb Company,NYSE,$89.72B,$2630.62,Health Care
TBBK,"The Bancorp, Inc.",NASDAQ,$400.41M,$6031.92,Finance
WFT,Weatherford International plc,NYSE,$4.03B,$7824.99,Energy
HUNT,Hunter Maritime Acquisition Corp.,NASDAQ,$42.18M,$4030.23,Transportation
NLNK,NewLink Genetics Corporation,NASDAQ,$178.86M,$2395.63,Health Care
CZZ,Cosan Limited,NYSE,$1.63B,$2689.19,Consumer Non-Durables
ETN,"Eaton Corporation, PLC",NYSE,$34.35B,$3367.13,Technology
RRR,"Red Rock Resorts, Inc.",NASDAQ,$2.78B,$8711.49,Consumer Services
FNTEW,FinTech Acquisition Corp. II,NASDAQ,n/a,$4269.35,Finance
ECT,ECA Marcellus Trust I,NYSE,$37.85M,$4583.93,Energy
III,"Information Services Group, Inc.",NASDAQ,$167.89M,$8043.63,Consumer Services
ANET,"Arista Networks, Inc.",NYSE,$10.91B,$6333.53,Technology
EAGLU,Double Eagle Acquisition Corp.,NASDAQ,n/a,$5254.01,Finance
ZX,China Zenix Auto International Limited,NYSE,$93.96M,$7931.95,Capital Goods
BKSC,Bank of South Carolina Corp.,NASDAQ,$99.43M,$9110.56,Finance
TRMB,Trimble Inc.,NASDAQ,$9.26B,$6379.33,Capital Goods
DEA,"Easterly Government Properties, Inc.",NYSE,$779.29M,$7932.41,Consumer Services
ECYT,"Endocyte, Inc.",NASDAQ,$64.56M,$7940.37,Health Care
UTL,UNITIL Corporation,NYSE,$710.24M,$2436.20,Public Utilities
MRDNW,"Meridian Waste Solutions, Inc",NASDAQ,n/a,$6957.36,Basic Industries
EARS,Auris Medical Holding AG,NASDAQ,$30.59M,$4506.99,Health Care
NDRAW,ENDRA Life Sciences Inc.,NASDAQ,n/a,$4067.55,n/a
LLNW,"Limelight Networks, Inc.",NASDAQ,$299.1M,$4101.04,Miscellaneous
HOLI,"Hollysys Automation Technologies, Ltd.",NASDAQ,$1.04B,$5422.87,Energy
ARES^A,Ares Management L.P.,NYSE,n/a,$7925.25,n/a
TVE,Tennessee Valley Authority,NYSE,n/a,$4583.27,Public Utilities
GIFI,"Gulf Island Fabrication, Inc.",NASDAQ,$152.96M,$9811.36,Capital Goods
BBBY,Bed Bath & Beyond Inc.,NASDAQ,$5.09B,$9850.05,Consumer Services
SLRC,Solar Capital Ltd.,NASDAQ,$920.44M,$2177.69,n/a
RWT,"Redwood Trust, Inc.",NYSE,$1.34B,$5130.09,Consumer Services
CEM,ClearBridge Energy MLP Fund Inc.,NYSE,$1.06B,$5186.80,n/a
ELJ,"Entergy Louisiana, Inc.",NYSE,n/a,$1155.43,Public Utilities
SEAC,"SeaChange International, Inc.",NASDAQ,$95.04M,$6373.09,Technology
CYBR,CyberArk Software Ltd.,NASDAQ,$1.67B,$4896.06,Technology
CPAAW,Conyers Park Acquisition Corp.,NASDAQ,n/a,$1150.42,Finance
AEE,Ameren Corporation,NYSE,$13.85B,$2966.93,Public Utilities
MARK,"Remark Holdings, Inc.",NASDAQ,$57.31M,$4269.12,Consumer Services
HBANO,Huntington Bancshares Incorporated,NASDAQ,$21.83B,$8779.40,Finance
BCH,Banco De Chile,NYSE,$12.86B,$9067.38,Finance
OTTW,"Ottawa Bancorp, Inc.",NASDAQ,$48.54M,$8712.85,Finance
FSM,Fortuna Silver Mines Inc.,NYSE,$749.94M,$4510.57,Basic Industries
EBIO,"Eleven Biotherapeutics, Inc.",NASDAQ,$34.58M,$4447.82,Health Care
AMGN,Amgen Inc.,NASDAQ,$119.44B,$6626.45,Health Care
MER^K,"Merrill Lynch & Co., Inc.",NYSE,n/a,$5699.01,n/a
CAR,"Avis Budget Group, Inc.",NASDAQ,$1.84B,$7749.01,Consumer Services
ELVT,"Elevate Credit, Inc.",NYSE,$349.39M,$9257.18,Finance
W,Wayfair Inc.,NYSE,$6.6B,$3639.36,Consumer Services
WFC^Y,Wells Fargo & Company,NYSE,n/a,$3868.12,n/a
NMM,Navios Maritime Partners LP,NYSE,$235.9M,$2403.65,Transportation
CRME,Cardiome Pharma Corporation,NASDAQ,$125.47M,$7135.07,Health Care
SOJA,Southern Company (The),NYSE,n/a,$1225.68,Public Utilities
BCOR,"Blucora, Inc.",NASDAQ,$909.02M,$4478.57,Technology
PVG,"Pretium Resources, Inc.",NYSE,$1.61B,$3614.05,Basic Industries
FPRX,"Five Prime Therapeutics, Inc.",NASDAQ,$809.46M,$6707.62,Health Care
ALP^O,Alabama Power Company,NYSE,n/a,$9809.50,Public Utilities
ROK,"Rockwell Automation, Inc.",NYSE,$21.14B,$3622.78,Capital Goods
LBAI,"Lakeland Bancorp, Inc.",NASDAQ,$937.55M,$8566.12,Finance
CASM,"CAS Medical Systems, Inc.",NASDAQ,$28.79M,$2798.44,Health Care
BLMT,"BSB Bancorp, Inc.",NASDAQ,$292.59M,$2180.13,Finance
IDRA,"Idera Pharmaceuticals, Inc.",NASDAQ,$237.15M,$1163.22,Health Care
DNBF,DNB Financial Corp,NASDAQ,$147.96M,$5129.54,Finance
NCMI,"National CineMedia, Inc.",NASDAQ,$493.54M,$1558.44,Consumer Services
OCRX,"Ocera Therapeutics, Inc.",NASDAQ,$25.45M,$9541.03,Health Care
GLUU,Glu Mobile Inc.,NASDAQ,$332.81M,$1652.95,Technology
PENN,"Penn National Gaming, Inc.",NASDAQ,$1.95B,$3491.09,Consumer Services
MPW,"Medical Properties Trust, Inc.",NYSE,$4.8B,$6203.30,Consumer Services
BIG,"Big Lots, Inc.",NYSE,$2.12B,$6083.50,Consumer Services
IDTI,"Integrated Device Technology, Inc.",NASDAQ,$3.26B,$3491.34,Technology
LADR,Ladder Capital Corp,NYSE,$1.56B,$4037.73,Consumer Services
ROG,Rogers Corporation,NYSE,$1.92B,$3635.24,Basic Industries
TARO,Taro Pharmaceutical Industries Ltd.,NYSE,$4.57B,$3048.18,Health Care
SSNC,"SS&C Technologies Holdings, Inc.",NASDAQ,$7.82B,$8366.80,Technology
CHFC,Chemical Financial Corporation,NASDAQ,$3.46B,$4076.93,Finance
NIE,AllianzGI Equity & Convertible Income Fund,NYSE,$543.65M,$2244.46,n/a
DFNL,Davis Select Financial ETF,NASDAQ,n/a,$2466.58,n/a
LANDP,Gladstone Land Corporation,NASDAQ,n/a,$7221.69,Consumer Services
GRIF,"Griffin Industrial Realty, Inc.",NASDAQ,$157.67M,$4552.83,Finance
DWLV,PowerShares DWA Momentum & Low Volatility Rotation Portfolio,NASDAQ,$4.2M,$7128.02,n/a
FRA,Blackrock Floating Rate Income Strategies Fund Inc,NYSE,$526.1M,$9595.85,n/a
GPRE,"Green Plains, Inc.",NASDAQ,$868.22M,$5134.24,Basic Industries
PIE,PowerShares DWA Emerging Markets Momentum Portfolio,NASDAQ,$176.16M,$3475.76,n/a
NYMTO,"New York Mortgage Trust, Inc.",NASDAQ,n/a,$2252.03,Consumer Services
GGG,Graco Inc.,NYSE,$6.28B,$1974.29,Capital Goods
NVDQ,Novadaq Technologies Inc,NASDAQ,$346.82M,$3290.52,Health Care
KTCC,Key Tronic Corporation,NASDAQ,$73.17M,$2074.39,Technology
PSX,Phillips 66,NYSE,$41.77B,$2275.24,Energy
OPY,"Oppenheimer Holdings, Inc.",NYSE,$219.09M,$5243.65,Finance
CHU,China Unicom (Hong Kong) Ltd,NYSE,$34.75B,$5115.93,Public Utilities
SOHO,Sotherly Hotels Inc.,NASDAQ,$91.07M,$3408.18,Consumer Services
BECN,"Beacon Roofing Supply, Inc.",NASDAQ,$2.96B,$5211.43,Consumer Services
WFC.WS,Wells Fargo & Company,NYSE,n/a,$6866.10,n/a
KO,Coca-Cola Company (The),NYSE,$193.59B,$3765.07,Consumer Non-Durables
GILT,Gilat Satellite Networks Ltd.,NASDAQ,$228.44M,$4797.55,Technology
JQC,Nuveen Credit Strategies Income Fund,NYSE,$1.17B,$2398.80,n/a
CDI,CDI Corporation,NYSE,$108.41M,$7400.04,Technology
MOXC,"Moxian, Inc.",NASDAQ,$221.12M,$1931.09,Technology
ARNA,"Arena Pharmaceuticals, Inc.",NASDAQ,$415.84M,$8918.27,Health Care
CHCI,"Comstock Holding Companies, Inc.",NASDAQ,$6.74M,$4405.04,Capital Goods
APOP,Cellect Biotechnology Ltd.,NASDAQ,$43.5M,$9878.51,n/a
KYE,"Kayne Anderson Energy Total Return Fund, Inc.",NYSE,$378.01M,$1044.74,n/a
WVVIP,"Willamette Valley Vineyards, Inc.",NASDAQ,n/a,$8368.26,Consumer Non-Durables
AXDX,"Accelerate Diagnostics, Inc.",NASDAQ,$1.53B,$4649.34,Capital Goods
NWLI,"National Western Life Group, Inc.",NASDAQ,$1.18B,$3388.51,Finance
STRS,Stratus Properties Inc.,NASDAQ,$227.14M,$1920.60,Consumer Services
PATI,"Patriot Transportation Holding, Inc.",NASDAQ,$58.87M,$5584.86,Transportation
C^K,Citigroup Inc.,NYSE,n/a,$7488.30,Finance
FUNC,First United Corporation,NASDAQ,$106.49M,$2012.36,Finance
AHPI,"Allied Healthcare Products, Inc.",NASDAQ,$8.91M,$5139.66,Health Care
MCS,Marcus Corporation (The),NYSE,$909.47M,$8100.88,Consumer Services
ABB,ABB Ltd,NYSE,$54.37B,$8470.86,Consumer Durables
ANAT,American National Insurance Company,NASDAQ,$3.08B,$4166.76,Finance
AGTC,Applied Genetic Technologies Corporation,NASDAQ,$91.32M,$8490.53,Health Care
TSRO,"TESARO, Inc.",NASDAQ,$7.77B,$4060.42,Health Care
CB,D/B/A Chubb Limited New,NYSE,$70.81B,$8488.06,Finance
ARL,"American Realty Investors, Inc.",NYSE,$137.3M,$8251.25,Finance
EQT,EQT Corporation,NYSE,$10.19B,$3339.87,Energy
APOG,"Apogee Enterprises, Inc.",NASDAQ,$1.6B,$6058.86,Capital Goods
FMB,First Trust Managed Municipal ETF,NASDAQ,$137.93M,$6962.33,n/a
SGBX,"SG Blocks, Inc.",NASDAQ,$87854.2,$6343.60,n/a
CHI,Calamos Convertible Opportunities and Income Fund,NASDAQ,$786.07M,$2674.57,n/a
SFS,Smart,NYSE,$666.23M,$2934.54,Consumer Services
MMLP,Martin Midstream Partners L.P.,NASDAQ,$688.3M,$6153.02,Energy
WDC,Western Digital Corporation,NASDAQ,$25.37B,$4650.25,Technology
